16393849;0953744412;3/9/2015
16393849;0894313465;15/8/2016
23206028;0892132513;9/11/2017
23206028;0161559058;4/12/2016
26548795;0957501804;12/12/2014
26548795;0892095304;17/3/2014
34175926;0956399395;28/5/2017
34175926;0911140461;19/11/2015
39213621;0955878948;16/7/2015
46551849;0891357255;11/1/2014
47907245;0955926302;21/10/2016
47907245;0896228093;21/8/2016
47907245;0957909428;13/3/2016
47907245;0895808398;8/4/2016
48491247;0959228813;23/11/2015
48673693;0954793357;21/1/2016
54977989;0911573048;24/9/2014
55834298;0892841002;22/7/2015
55834298;0899342385;25/1/2015
57414646;0912853208;24/5/2014
57459975;0955006458;21/1/2016
58055740;0912995512;10/11/2015
62640698;0894751232;22/3/2016
62640698;0896961937;3/12/2015
69101701;0913169544;11/9/2017
69101701;0161672610;20/10/2016
70593958;0955457201;7/9/2016
73958018;0168592715;12/5/2014
81377946;0910153096;9/11/2015
81411263;0914503461;28/7/2015
